name	type	description	sampling_rate	low_cutoff	high_cutoff
FP2	EEG/EIT	electrode	16384	0	0
FP1	EEG/EIT	electrode	16384	0	0
F8	EEG/EIT	electrode	16384	0	0
F4	EEG/EIT	electrode	16384	0	0
Fz	EEG/EIT	electrode	16384	0	0
F3	EEG/EIT	electrode	16384	0	0
F7	EEG/EIT	electrode	16384	0	0
FC6	EEG/EIT	electrode	16384	0	0
FC2	EEG/EIT	electrode	16384	0	0
FC1	EEG/EIT	electrode	16384	0	0
FC5	EEG/EIT	electrode	16384	0	0
T8	EEG/EIT	electrode	16384	0	0
C4	EEG/EIT	electrode	16384	0	0
CZ	EEG/EIT	electrode	16384	0	0
C3	EEG/EIT	electrode	16384	0	0
T7	EEG/EIT	electrode	16384	0	0
TP10	EEG/EIT	electrode	16384	0	0
CP6	EEG/EIT	electrode	16384	0	0
CP2	EEG/EIT	electrode	16384	0	0
CP1	EEG/EIT	electrode	16384	0	0
CP5	EEG/EIT	electrode	16384	0	0
TP9	EEG/EIT	electrode	16384	0	0
P4	EEG/EIT	electrode	16384	0	0
Pz	EEG/EIT	electrode	16384	0	0
P3	EEG/EIT	electrode	16384	0	0
P8	EEG/EIT	electrode	16384	0	0
PO4	EEG/EIT	electrode	16384	0	0
PO3	EEG/EIT	electrode	16384	0	0
P7	EEG/EIT	electrode	16384	0	0
I2/O10	EEG/EIT	electrode	16384	0	0
I1/O9	EEG/EIT	electrode	16384	0	0
Oz	EEG/EIT	electrode	16384	0	0
STATUS	TRIG	Digital Triggers See ScouseTom EIT system desc.	16384	0	0
